Timestamp,Temperature,Pression,Humidite
2025-03-01 08:00:00,23.41,101.22,48.3
2025-03-01 08:05:00,25.87,103.11,52.9
2025-03-01 08:10:00,29.14,98.44,33.7
2025-03-01 08:15:00,34.52,109.76,66.1
2025-03-01 08:20:00,22.83,97.58,47.2
2025-03-01 08:25:00,31.29,100.17,55.4
2025-03-01 08:30:00,36.41,95.83,71.7
2025-03-01 08:35:00,27.91,108.44,42.1
2025-03-01 08:40:00,24.18,104.03,38.9
2025-03-01 08:45:00,28.44,99.77,61.4
2025-03-01 08:50:00,33.51,107.63,68.2
2025-03-01 08:55:00,20.77,96.19,29.5
2025-03-01 09:00:00,30.06,109.11,57.3
2025-03-01 09:05:00,18.34,97.02,25.1
2025-03-01 09:10:00,37.88,102.14,62.0
2025-03-01 09:15:00,21.44,100.88,35.4
2025-03-01 09:20:00,32.79,110.00,69.9
2025-03-01 09:25:00,26.31,99.28,55.0
2025-03-01 09:30:00,19.02,104.91,39.4
2025-03-01 09:35:00,35.67,108.77,73.4
2025-03-01 09:40:00,28.14,95.92,46.2
2025-03-01 09:45:00,22.51,98.33,41.1
2025-03-01 09:50:00,34.18,107.44,70.5
2025-03-01 09:55:00,30.72,103.15,63.3
2025-03-01 10:00:00,17.98,97.45,22.4
2025-03-01 10:05:00,36.02,109.34,68.9
2025-03-01 10:10:00,25.61,100.62,54.7
2025-03-01 10:15:00,23.77,96.88,28.2
2025-03-01 10:20:00,29.43,105.90,60.1
2025-03-01 10:25:00,32.17,102.41,67.7
2025-03-01 10:30:00,27.53,99.71,44.9
2025-03-01 10:35:00,21.96,97.54,32.5
2025-03-01 10:40:00,38.41,108.19,75.2
2025-03-01 10:45:00,20.84,100.31,36.8
2025-03-01 10:50:00,35.03,110.00,70.9
2025-03-01 10:55:00,28.62,101.44,49.1
2025-03-01 11:00:00,24.09,96.66,33.9
2025-03-01 11:05:00,31.72,98.90,58.3
2025-03-01 11:10:00,18.92,107.13,27.7
2025-03-01 11:15:00,33.44,105.18,72.1
2025-03-01 11:20:00,26.05,103.99,45.4
2025-03-01 11:25:00,30.17,99.85,51.8
2025-03-01 11:30:00,22.63,97.01,39.7
2025-03-01 11:35:00,29.91,108.55,64.8
2025-03-01 11:40:00,34.72,100.02,71.4
2025-03-01 11:45:00,27.18,95.88,47.0
2025-03-01 11:50:00,19.44,104.60,31.6
2025-03-01 11:55:00,37.55,107.92,73.8
2025-03-01 12:00:00,24.78,98.11,41.9
2025-03-01 12:05:00,28.33,101.77,57.2
2025-03-01 12:10:00,31.14,99.02,63.1
2025-03-01 12:15:00,22.01,97.55,34.8
2025-03-01 12:20:00,36.28,109.41,72.6
2025-03-01 12:25:00,25.49,100.88,47.7
2025-03-01 12:30:00,20.95,96.44,30.2
2025-03-01 12:35:00,34.61,108.92,68.0
2025-03-01 12:40:00,27.84,98.73,43.9
2025-03-01 12:45:00,29.57,103.66,58.4
2025-03-01 12:50:00,23.18,95.92,40.3
2025-03-01 12:55:00,37.94,109.55,74.1
2025-03-01 13:00:00,26.67,101.13,52.6
2025-03-01 13:05:00,22.85,97.71,36.4
2025-03-01 13:10:00,30.31,104.88,61.5
2025-03-01 13:15:00,33.72,102.01,67.0
2025-03-01 13:20:00,28.96,99.44,49.7
2025-03-01 13:25:00,21.73,96.88,33.1
2025-03-01 13:30:00,35.51,108.66,70.8
2025-03-01 13:35:00,24.64,100.17,42.8
2025-03-01 13:40:00,29.22,104.39,57.9
2025-03-01 13:45:00,18.77,97.12,28.9
2025-03-01 13:50:00,32.14,107.77,65.4
2025-03-01 13:55:00,27.48,99.81,48.6
2025-03-01 14:00:00,23.91,96.55,37.3
2025-03-01 14:05:00,31.63,105.44,59.8
2025-03-01 14:10:00,20.82,98.02,31.5
2025-03-01 14:15:00,33.58,110.00,71.9
2025-03-01 14:20:00,26.94,102.94,53.0
2025-03-01 14:25:00,19.33,97.48,29.8
2025-03-01 14:30:00,36.80,108.18,73.5
2025-03-01 14:35:00,25.26,100.71,46.4
2025-03-01 14:40:00,29.74,95.88,58.2
2025-03-01 14:45:00,23.37,104.11,41.2
2025-03-01 14:50:00,34.93,109.33,69.3
2025-03-01 14:55:00,27.05,101.38,50.7
2025-03-01 15:00:00,22.48,98.88,36.9
2025-03-01 15:05:00,30.98,103.75,62.4
2025-03-01 15:10:00,18.63,96.77,27.6
2025-03-01 15:15:00,31.22,105.99,57.5
2025-03-01 15:20:00,28.11,99.63,52.0
2025-03-01 15:25:00,24.02,95.89,40.9
2025-03-01 15:30:00,35.88,108.88,72.2
2025-03-01 15:35:00,27.69,100.44,48.8
2025-03-01 15:40:00,21.56,97.12,34.1
2025-03-01 15:45:00,33.07,109.01,67.5
2025-03-01 15:50:00,26.38,102.56,51.1
2025-03-01 15:55:00,29.81,98.14,59.3
2025-03-01 16:00:00,23.12,95.71,38.4
2025-03-01 16:05:00,36.44,109.22,73.1
2025-03-01 16:10:00,28.57,101.91,55.8
2025-03-01 16:15:00,22.74,97.66,34.6
2025-03-01 16:20:00,34.12,108.14,69.7
2025-03-01 16:25:00,27.03,100.02,47.9
2025-03-01 16:30:00,19.88,96.91,29.1
2025-03-01 16:35:00,31.94,104.77,61.2
2025-03-01 16:40:00,25.71,98.55,43.3
2025-03-01 16:45:00,29.06,103.11,58.7
2025-03-01 16:50:00,23.51,95.62,39.4
2025-03-01 16:55:00,37.21,108.88,74.4
2025-03-01 17:00:00,26.18,101.45,49.9
2025-03-01 17:05:00,21.86,97.13,36.0
2025-03-01 17:10:00,33.91,109.44,71.2
2025-03-01 17:15:00,28.23,102.18,52.7
2025-03-01 17:20:00,24.39,96.99,41.6
2025-03-01 17:25:00,35.60,108.77,73.0
2025-03-01 17:30:00,26.55,100.33,48.5
2025-03-01 17:35:00,18.92,97.51,27.9
2025-03-01 17:40:00,31.47,104.02,60.3
2025-03-01 17:45:00,20.68,96.22,32.7
2025-03-01 17:50:00,34.99,109.01,70.5
2025-03-01 17:55:00,27.11,99.58,51.3
2025-03-01 18:00:00,22.94,95.88,37.0
2025-03-01 18:05:00,30.85,103.66,63.4
2025-03-01 18:10:00,24.47,98.71,44.2
2025-03-01 18:15:00,33.18,107.55,67.1
2025-03-01 18:20:00,26.67,100.09,50.4
2025-03-01 18:25:00,19.77,97.54,31.8
2025-03-01 18:30:00,36.71,108.99,72.9
2025-03-01 18:35:00,28.04,101.61,55.5
2025-03-01 18:40:00,23.29,96.13,38.2
2025-03-01 18:45:00,34.38,105.78,69.2
2025-03-01 18:50:00,27.41,99.92,50.1
2025-03-01 18:55:00,31.77,103.44,62.5
2025-03-01 19:00:00,21.12,95.72,33.7
2025-03-01 19:05:00,30.53,98.66,57.8
2025-03-01 19:10:00,25.36,100.14,45.9
2025-03-01 19:15:00,33.87,107.08,68.3
2025-03-01 19:20:00,26.91,102.81,49.6
2025-03-01 19:25:00,22.47,96.31,37.4
2025-03-01 19:30:00,35.44,109.55,72.0
2025-03-01 19:35:00,27.63,99.44,51.7
2025-03-01 19:40:00,24.08,97.14,42.1
2025-03-01 19:45:00,32.51,105.44,65.1
2025-03-01 19:50:00,18.84,95.99,29.4
2025-03-01 19:55:00,31.09,104.88,59.2
2025-03-01 20:00:00,24.81,98.11,43.8
2025-03-01 20:05:00,33.62,107.77,66.0
2025-03-01 20:10:00,27.44,100.55,50.8
2025-03-01 20:15:00,21.73,96.22,36.5
2025-03-01 20:20:00,34.91,108.33,71.4
2025-03-01 20:25:00,26.58,99.88,48.9
2025-03-01 20:30:00,30.77,103.92,62.2
2025-03-01 20:35:00,23.05,97.41,41.3
2025-03-01 20:40:00,32.98,106.44,68.0
2025-03-01 20:45:00,28.79,101.22,56.3
2025-03-01 20:50:00,19.94,95.55,30.1
2025-03-01 20:55:00,31.55,103.02,60.1
2025-03-01 21:00:00,24.29,98.87,44.7
2025-03-01 21:05:00,36.18,108.77,73.5
